idHome,idAway,GD Home,GD Away,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Point Home,Point Away,Outcome
52,51,0,1,17,41,8,21,23,44,7,17,2,5,0,0,3,4,1
62,70,2,1,38,30,19,19,35,26,30,9,6,5,0,0,7,4,0
79,87,4,5,36,37,25,17,34,37,17,20,3,5,0,0,6,7,0
39,35,-2,-4,25,28,14,15,30,43,11,15,3,5,0,0,4,4,-1
72,85,-2,1,31,44,19,26,28,37,10,14,3,4,0,0,3,6,-1
44,47,-2,1,31,29,15,14,35,44,21,19,5,5,0,1,1,6,0
39,38,3,-3,40,28,20,14,36,45,20,10,2,6,0,0,3,3,-1
54,47,-2,-3,23,35,6,19,45,30,10,12,7,4,1,0,3,3,-1
64,38,-2,1,32,24,22,14,37,22,29,20,3,0,0,0,1,4,-1
67,52,-6,1,49,37,26,21,49,38,20,19,8,3,0,0,4,6,0
51,75,0,7,49,76,28,44,55,37,23,29,6,3,0,0,4,9,-1
62,54,3,-3,54,35,30,13,45,55,35,17,6,9,0,1,10,3,0
38,85,-3,0,34,51,19,29,54,43,16,16,7,5,0,0,4,6,0
47,39,0,-3,50,38,27,18,62,43,27,16,6,3,1,1,6,4,1
87,70,7,0,55,37,25,22,47,44,25,13,6,8,1,1,10,4,-1
35,47,-3,-2,36,43,19,24,60,49,18,20,7,5,0,0,7,6,1
79,72,2,-1,49,52,32,31,48,36,25,13,3,5,0,0,6,6,1
64,39,-3,3,49,52,32,28,52,46,41,28,4,3,0,1,1,4,0
44,38,-1,2,44,41,23,27,44,34,29,28,6,4,0,0,4,7,-1
75,35,9,-3,96,45,53,24,47,71,46,22,5,7,0,0,12,8,0
38,38,3,-1,51,51,32,30,50,63,34,24,7,9,0,0,10,7,1
47,62,-2,3,60,81,32,41,61,53,26,55,6,7,0,0,7,11,0
52,47,0,2,48,62,26,33,49,70,22,29,3,7,0,1,6,9,-1
70,51,0,-2,50,61,30,36,62,67,17,30,15,8,1,0,5,4,0
85,44,-2,-2,65,54,40,29,59,66,23,34,8,9,0,0,6,4,0
39,67,-5,-5,49,60,26,30,64,62,22,24,5,10,1,0,4,7,-1
54,87,-3,7,38,75,15,38,65,62,20,32,10,7,1,1,4,11,-1
72,64,-7,-3,62,60,35,36,50,65,18,44,6,6,0,0,6,2,1
39,79,3,8,66,63,34,42,58,61,32,33,5,3,1,0,5,9,1
67,70,-4,2,54,81,27,54,72,70,24,33,12,15,0,1,10,8,-1
38,75,-2,8,54,90,30,48,59,44,28,54,10,7,0,0,7,12,0
44,52,-1,-1,63,66,34,32,71,64,37,24,13,7,0,1,7,6,0
39,85,4,-3,53,73,29,43,59,62,27,27,7,9,1,0,8,6,0
87,38,9,4,71,49,36,30,58,50,29,32,8,8,1,0,14,13,1
47,39,-4,-6,54,42,29,24,67,59,30,21,7,5,1,1,7,4,1
79,62,7,5,61,78,40,39,71,61,28,51,6,8,0,0,9,14,1
72,54,-5,-5,58,35,33,15,62,62,18,22,9,10,1,1,9,4,1
64,35,-5,-2,67,41,39,23,66,68,41,21,7,5,0,0,2,11,-1
47,51,3,-4,63,57,35,33,69,64,27,30,6,10,1,0,12,4,-1
75,47,8,-4,88,58,49,27,49,71,56,28,12,7,0,1,13,8,-1
38,72,2,-4,52,62,31,38,58,58,25,16,11,7,0,1,13,12,0
51,67,-2,-6,60,48,35,25,59,72,31,21,11,14,0,0,7,10,0
52,38,-2,-2,68,50,31,28,68,57,24,23,8,11,1,0,6,8,0
62,39,6,3,76,64,38,32,63,56,44,28,7,9,0,1,17,8,-1
70,44,4,0,81,62,51,38,63,70,31,34,13,12,1,0,11,10,0
85,87,-2,11,70,91,41,48,63,52,26,29,8,6,0,1,9,17,-1
35,47,-1,1,44,73,25,40,68,68,18,31,6,8,0,0,14,12,0
54,64,-6,-6,35,76,18,44,62,69,25,41,12,10,1,0,4,2,0
39,79,-6,6,43,54,25,36,66,70,22,23,7,7,1,1,5,9,0
67,85,-6,-7,44,56,19,33,63,62,25,27,12,8,0,0,11,9,0
47,70,-6,8,49,87,23,58,79,63,28,43,10,11,1,1,8,14,-1
38,39,-2,-6,54,45,31,25,45,70,25,26,8,5,0,2,9,6,0
44,35,-4,0,56,46,33,24,68,61,30,14,11,7,0,0,10,17,0
87,62,16,7,100,85,59,42,51,60,31,41,3,6,1,0,20,20,-1
79,54,6,-5,65,35,36,19,74,56,30,26,7,9,1,0,10,7,1
72,52,-4,-2,64,76,36,38,66,66,15,31,10,7,2,1,13,7,0
64,51,-7,-2,81,52,44,30,68,57,34,35,12,10,2,0,2,8,1
47,75,0,10,76,90,39,49,65,45,26,51,8,12,0,0,12,16,0
39,38,2,2,63,57,31,32,57,67,27,31,10,12,2,0,8,14,-1
39,44,-7,-7,42,67,26,41,68,71,25,36,7,11,1,0,6,10,1
75,64,12,-5,93,83,49,43,46,62,55,25,14,11,0,2,19,5,0
38,67,6,-6,49,47,26,21,63,72,27,29,10,14,0,0,17,12,0
51,47,-4,-6,54,54,26,27,62,77,33,25,12,12,1,1,8,9,0
52,39,-2,-2,65,68,30,28,58,61,25,28,6,10,1,1,8,8,1
35,87,3,15,54,96,30,56,57,58,16,30,7,5,0,0,20,20,-1
62,72,8,-4,77,64,34,36,63,65,38,20,9,8,0,2,23,14,0
70,47,8,-2,98,62,69,29,56,60,48,22,11,9,0,1,15,12,1
85,79,-7,9,54,70,32,41,67,72,27,28,8,8,0,1,10,13,0
54,38,-8,-1,32,62,18,29,62,47,27,21,7,8,0,0,7,12,0
87,38,18,-2,103,54,54,22,56,46,28,17,6,7,0,0,23,12,1
47,52,-5,0,48,61,26,27,77,56,22,24,13,6,1,1,12,11,0
70,35,10,0,106,55,73,30,48,57,47,17,5,7,0,0,18,20,1
85,47,-5,-4,45,54,24,24,61,61,23,21,6,10,0,1,13,12,-1
72,39,-5,-4,58,59,33,24,63,63,16,26,10,10,2,1,14,8,-1
